Match Date,Team1 Name,Team1 Captain,Team2 Name,Team2 Captain,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Playing 11,Team2 Playing 11,Debut Players
07-01-1988,Australia,1572,New Zealand,1698,Melbourne Cricket Ground,Melbourne,Australia,Australia,bat,Australia,"['1767', '1793', '1754', '1572', '1871', '1795', '1854', '1859', '1875', '1773', '1649']","['1550', '1863', '1861', '1669', '1698', '1846', '1407', '1631', '1640', '1798', '1443']",[]
12-01-1988,New Zealand,1698,Sri Lanka,1664,Bellerive Oval,Hobart,Australia,Sri Lanka,bowl,Sri Lanka,"['1777', '1550', '1698', '1669', '1861', '1846', '1407', '1633', '1798', '1870', '1443']","['1810', '1864', '1789', '1762', '1666', '1664', '1671', '1699', '1857', '1784', '1881']",[]
17-01-1988,New Zealand,1698,Australia,1572,Brisbane Cricket Ground,Brisbane,Australia,Australia,bowl,Australia,"['1550', '1863', '1698', '1669', '1407', '1790', '1846', '1777', '1640', '1798', '1443']","['1793', '1767', '1773', '1754', '1871', '1795', '1572', '1854', '1859', '1875', '1797']",['1790']
19-01-1988,Sri Lanka,1664,Australia,1572,Sydney Cricket Ground,Sydney,Australia,Australia,bowl,Australia,"['1810', '1864', '1789', '1753', '1762', '1666', '1664', '1671', '1699', '1857', '1881']","['1767', '1793', '1754', '1871', '1795', '1572', '1854', '1875', '1859', '1874', '1649']",['1753']
21-10-1988,India,1491,West Indies,1433,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,India,bat,West Indies,"['1653', '1639', '1353', '1491', '1774', '1568', '1840', '1838', '1920', '1694', '1876']","['1433', '1553', '1744', '1873', '1697', '1654', '1745', '1884', '1765', '1799', '1924']",[]
29-10-1988,Sri Lanka,1666,India,1491,National Stadium,Dhaka,Bangladesh,India,bowl,Sri Lanka,"['1810', '1864', '1916', '1762', '1666', '1665', '1671', '1945', '1996', '1913', '1881']","['1653', '1743', '1353', '1491', '1568', '1774', '1838', '1867', '1920', '1694', '1876']",[]
12-12-1988,New Zealand,1550,India,1491,Barabati Stadium,Cuttack,India,New Zealand,bat,India,"['1550', '1863', '1777', '1882', '1734', '1633', '1918', '1631', '1640', '1844', '1443']","['1653', '1893', '1743', '1491', '1774', '1568', '1878', '1840', '1920', '1867', '1694']",[]
24-08-1972,Australia,1243,England,858,Old Trafford,Manchester,England,Australia,bat,England,"['1278', '1291', '1243', '1364', '1394', '1307', '1277', '1361', '1319', '1369', '1395']","['1228', '1285', '1316', '858', '1334', '1283', '1393', '1301', '1449', '1270', '1300']","['1395', '1449', '858', '1285', '1369', '1300', '1291', '1307', '1394', '1393']"
28-08-1972,Australia,1243,England,858,Edgbaston,Birmingham,England,England,bowl,England,"['1278', '1394', '1243', '1364', '1307', '1277', '1361', '1319', '1411', '1369', '1395']","['1228', '1285', '858', '1316', '1283', '1396', '1393', '1301', '1449', '1270', '1300']","['1396', '1411']"
11-02-1973,New Zealand,1251,Pakistan,1117,Lancaster Park,Christchurch,New Zealand,Pakistan,bowl,New Zealand,"['1456', '1328', '1251', '1326', '1311', '1266', '1338', '1336', '1407', '1337', '1250']","['1117', '1348', '1239', '1105', '1237', '1409', '1064', '1299', '1298', '1329', '1324']","['1237', '1324', '1251', '1326', '1336', '1328', '1266', '1337', '1117', '1338', '1239', '1311', '1105', '1064', '1456', '1250', '1407', '1348', '1298', '1329', '1299', '1409']"
18-07-1973,New Zealand,1251,England,1081,St Helen's,Swansea,England,New Zealand,bat,England,"['1328', '1412', '1251', '1326', '1311', '1259', '1338', '1265', '1407', '1250', '1337']","['1228', '1285', '1406', '1414', '1316', '1393', '1081', '1301', '1270', '1300', '1284']","['1265', '1284', '1414', '1406', '1412', '1259']"
30-03-1974,New Zealand,1251,Australia,1243,Carisbrook,Dunedin,New Zealand,New Zealand,bat,Australia,"['1456', '1328', '1251', '1326', '1311', '1259', '1338', '1407', '1336', '1422', '1410']","['1215', '1278', '1243', '1364', '1418', '1277', '1361', '1402', '1419', '1528', '1423']","['1410', '1419', '1423', '1418', '1422', '1402', '1528']"
